SHIP CODE,DEPARTURE DATE,CRUISE ID,WEEK DAY,SECTOR,CABIN CATEGORY,CABIN GROUP,CABIN BLOCKED,CABIN SOLD,CABIN AVAILABLE,PAX COUNT
TPA,05/25/2018,TP01180525,Fri,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/25/2018,TP01180525,Fri,MYPEN-MYPEN,E2,FP,0,0,1,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,AS,FP,0,0,1,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,AT,FP,0,0,1,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,BA,FP,0,0,36,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,CA,FP,0,0,12,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,CB,FP,0,0,90,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,CC,FP,0,0,83,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,CD,FP,0,0,87,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,CF,FP,0,0,0,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,CG,FP,0,0,53,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,CH,FP,0,0,37,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,DA,FP,0,0,1,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,DB,FP,0,0,2,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,DC,FP,0,0,34,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,DD,FP,0,0,21,0
SSQ,01/10/2018,SQ01180110,Wed,HKHKG-HKHKG,DE,FP,0,0,13,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,AA,FP,0,0,12,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,AB,FP,0,0,4,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,AC,FP,0,0,0,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,AS,FP,0,0,1,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,AT,FP,0,0,1,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,BA,FP,0,0,14,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,CA,FP,0,0,0,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,CB,FP,0,0,17,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,CC,FP,0,0,0,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,CD,FP,0,0,67,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,CF,FP,0,0,0,0
SSQ,01/11/2018,SQ01180111A,Thu,HKHKG-HKHKG,CG,FP,0,0,15,0
TPA,05/26/2018,TP01180526,Sat,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/26/2018,TP01180526,Sat,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/27/2018,TP01180527,Sun,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/27/2018,TP01180527,Sun,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/28/2018,TP01180528,Mon,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/28/2018,TP01180528,Mon,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/29/2018,TP01180529,Tue,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/29/2018,TP01180529,Tue,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/30/2018,TP01180530,Wed,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/30/2018,TP01180530,Wed,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,05/31/2018,TP01180531,Thu,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,05/31/2018,TP01180531,Thu,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/01/2018,TP01180601,Fri,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/01/2018,TP01180601,Fri,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/02/2018,TP01180602,Sat,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/02/2018,TP01180602,Sat,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/03/2018,TP01180603,Sun,MYPEN-MYPEN,D4,FP,0,0,31,0
TPA,06/03/2018,TP01180603,Sun,MYPEN-MYPEN,E2,FP,0,0,1,0
TPA,06/04/2018,TP01180604,Mon,MYPEN-MYPEN,D4,FP,0,0,31,0
